Tag,Name,Season,"League ID","League Name",Position,Size,Stars,Destruction,"3 Stars","2 Stars","1 Star","0 Star",Victories,Defeats,Draws
#29RYVJ8C8,Psychole!,2026-02,48000013,"Master League III",3,15,313,9573,62,35,7,0,5,2,0
#29RYVJ8C8,Psychole!,2026-01,48000012,"Crystal League I",1,15,314,9020,61,34,3,1,6,1,0
#29RYVJ8C8,Psychole!,2025-12,48000012,"Crystal League I",6,15,226,7942,25,56,20,0,2,5,0
#29RYVJ8C8,Psychole!,2025-11,48000012,"Crystal League I",2,15,306,8445,44,50,4,2,7,0,0
#29RYVJ8C8,Psychole!,2025-10,48000012,"Crystal League I",6,15,235,8074,32,53,13,2,2,5,0
#29RYVJ8C8,Psychole!,2025-09,48000013,"Master League III",8,15,202,7545,14,74,12,2,0,7,0
#29RYVJ8C8,Psychole!,2025-08,48000013,"Master League III",5,15,228,7754,21,64,17,0,2,5,0
#29RYVJ8C8,Psychole!,2025-07,48000012,"Crystal League I",1,15,350,9929,73,29,3,0,7,0,0
#29RYVJ8C8,Psychole!,2025-06,48000013,"Master League III",7,30,476,16960,92,90,14,2,1,6,0
#29RYVJ8C8,Psychole!,2025-05,48000013,"Master League III",5,30,497,17606,79,95,30,1,4,3,0
#29RYVJ8C8,Psychole!,2025-04,48000013,"Master League III",4,30,492,17247,79,105,15,1,3,4,0
#29RYVJ8C8,Psychole!,2025-03,48000012,"Crystal League I",1,30,613,19518,136,63,9,0,7,0,0
#29RYVJ8C8,Psychole!,2025-02,48000012,"Crystal League I",2,15,306,9165,53,38,11,0,6,1,0
#29RYVJ8C8,Psychole!,2025-01,48000012,"Crystal League I",3,15,269,8542,33,59,12,0,4,3,0
#29RYVJ8C8,Psychole!,2024-12,48000013,"Master League III",8,30,315,12690,20,104,51,7,0,7,0
#29RYVJ8C8,Psychole!,2024-11,48000013,"Master League III",5,15,237,8529,37,45,16,3,2,5,0
#29RYVJ8C8,Psychole!,2024-10,48000012,"Crystal League I",1,15,313,9518,55,38,12,0,6,1,0
#29RYVJ8C8,Psychole!,2024-09,48000012,"Crystal League I",5,15,247,8441,37,44,18,0,3,4,0
#29RYVJ8C8,Psychole!,2024-08,48000011,"Crystal League II",2,15,311,9656,64,29,11,0,5,2,0
#29RYVJ8C8,Psychole!,2024-07,48000010,"Crystal League III",1,15,357,10058,83,17,4,0,7,0,0
#29RYVJ8C8,Psychole!,2020-11,48000011,"Crystal League II",8,15,129,4843,9,41,24,12,0,7,0
#29RYVJ8C8,Psychole!,2020-05,48000010,"Crystal League III",2,30,500,17331,94,67,35,5,5,2,0
#29RYVJ8C8,Psychole!,2020-04,48000011,"Crystal League II",7,15,182,6709,11,49,32,9,2,5,0
#29RYVJ8C8,Psychole!,2020-03,48000011,"Crystal League II",5,15,233,7364,26,46,23,4,4,3,0
#29RYVJ8C8,Psychole!,2020-02,48000010,"Crystal League III",2,15,274,7800,37,43,19,3,6,1,0
